order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1,101,2023-01-15,P01,Laptop,1200,1
2,102,2023-02-10,P02,Smartphone,800,2
3,101,2023-02-20,P03,Headphones,150,3
4,103,2023-03-15,P04,Smartwatch,250,1
5,102,2023-03-25,P05,Tablet,400,2
6,101,2023-04-10,P06,Camera,500,1
7,104,2023-04-20,P07,Gaming Console,350,2
8,101,2023-05-15,P08,TV,800,1
9,102,2023-05-25,P09,Speaker,100,4
10,103,2023-06-15,P10,Vacuum Cleaner,200,1
11,104,2023-06-25,P11,Air Purifier,300,2
12,105,2023-07-15,P12,Microwave,150,1
13,106,2023-07-25,P13,Refrigerator,800,1
14,107,2023-08-15,P14,Washing Machine,500,1
15,108,2023-08-25,P15,Dishwasher,400,1
16,109,2023-09-15,P16,Coffee Maker,100,2
17,110,2023-09-25,P17,Blender,150,1
18,111,2023-10-15,P18,Toaster,50,2
19,112,2023-10-25,P19,Kettle,30,1
20,113,2023-11-15,P20,Iron,40,2
21,114,2023-11-25,P21,Hair Dryer,60,1
22,115,2023-12-15,P22,Electric Shaver,80,2
23,116,2023-12-25,P10,Vacuum Cleaner,200,1
24,117,2023-01-10,P11,Air Purifier,300,2
25,118,2023-01-20,P12,Microwave,150,1
26,119,2023-02-15,P13,Refrigerator,800,1
27,120,2023-02-25,P14,Washing Machine,500,1
28,121,2023-03-15,P15,Dishwasher,400,1
29,122,2023-03-25,P16,Coffee Maker,100,2
30,123,2023-04-15,P17,Blender,150,1
31,124,2023-04-25,P18,Toaster,50,2
32,125,2023-05-15,P19,Kettle,30,1
33,126,2023-05-25,P20,Iron,40,2
34,127,2023-06-15,P21,Hair Dryer,60,1
35,128,2023-06-25,P22,Electric Shaver,80,2
36,129,2023-07-15,P01,Laptop,1200,1
37,130,2023-07-25,P02,Smartphone,800,2
38,131,2023-08-15,P03,Headphones,150,3
39,132,2023-08-25,P04,Smartwatch,250,1
40,133,2023-09-15,P05,Tablet,400,2
